"annotation_id","annotator","category","created_at","id","lead_time","sentiment","text","updated_at"
1,"1","economy","2024-11-15T09:50:38.537421Z",1,5.939,"Positive","South Africa sees record-breaking employment growth in Q3","2024-11-15T09:50:38.537421Z"
2,"1","economy","2024-11-15T09:51:49.383990Z",2,7.536,"Positive","JSE reaches new high as investor confidence grows","2024-11-15T09:51:49.383990Z"
3,"1","economy","2024-11-15T09:52:27.379962Z",3,15.896,"Positive","Manufacturing sector shows signs of recovery","2024-11-15T09:52:27.379962Z"
4,"1","economy","2024-11-15T09:54:21.381017Z",4,43.573,"Positive","Export numbers exceed expectations for second quarter","2024-11-15T09:54:21.381017Z"
5,"1","economy","2024-11-15T09:55:01.630229Z",5,39.374,"Neutral","Local currency strengthens against major currencies","2024-11-15T09:55:01.630229Z"
6,"1","economy","2024-11-15T09:55:41.741507Z",6,39.576,"Positive","Small business confidence index rises","2024-11-15T09:55:41.741507Z"
7,"1","economy","2024-11-15T09:56:15.781297Z",7,33.576,"Positive","Tourism sector reports 40% increase in international visitors","2024-11-15T09:56:15.781297Z"
8,"1","economy","2024-11-15T09:56:43.518427Z",8,27.285,"Positive","Tech industry investment reaches R2 billion milestone","2024-11-15T09:56:43.518427Z"
9,"1","economy","2024-11-15T09:57:07.825733Z",9,23.763,"Positive","Agricultural exports boost rural economy","2024-11-15T09:57:07.825733Z"
10,"1","economy","2024-11-15T09:57:52.840374Z",10,44.462,"Positive","Mining production increases by 15% year-on-year","2024-11-15T09:57:52.840374Z"
11,"1","infrastructure","2024-11-15T09:58:17.508692Z",11,24.157,"Negative","Load shedding disrupts businesses across the country","2024-11-15T09:58:17.508692Z"
12,"1","infrastructure","2024-11-15T09:58:39.988425Z",12,22.012,"Neutral","New solar power plant opens in Northern Cape","2024-11-15T09:58:39.988425Z"
13,"1","infrastructure","2024-11-15T09:59:00.938015Z",13,20.5,"Neutral","Road rehabilitation project begins in Gauteng","2024-11-15T09:59:00.938015Z"
14,"1","infrastructure","2024-11-15T09:59:29.203091Z",14,27.691,"Neutral","Water infrastructure upgrade planned for Eastern Cape","2024-11-15T09:59:29.203091Z"
15,"1","infrastructure","2024-11-15T09:59:57.736327Z",15,28.01,"Positive","High-speed rail project connects major cities","2024-11-15T09:59:57.736327Z"
16,"1","infrastructure","2024-11-15T10:00:23.284635Z",16,25.051,"Positive","Port expansion project creates 1000 jobs","2024-11-15T10:00:23.284635Z"
17,"1","infrastructure","2024-11-15T10:00:48.567378Z",17,24.73,"Positive","Municipal service delivery improves in Western Cape","2024-11-15T10:00:48.567378Z"
18,"1","infrastructure","2024-11-15T10:01:14.380108Z",18,25.291,"Positive","New bridge construction alleviates traffic congestion","2024-11-15T10:01:14.380108Z"
19,"1","infrastructure","2024-11-15T10:01:40.809032Z",19,25.929,"Positive","Telecommunications network expands to rural areas","2024-11-15T10:01:40.809032Z"
20,"1","infrastructure","2024-11-15T10:02:09.525142Z",20,28.156,"Neutral","Public transport system undergoes major renovation","2024-11-15T10:02:09.525142Z"
21,"1","government","2024-11-15T10:02:35.664577Z",21,25.569,"Neutral","New legislation proposed to address water scarcity","2024-11-15T10:02:35.664577Z"
22,"1","government","2024-11-15T10:02:56.196950Z",22,20.04,"Positive","Government launches free public WiFi initiative","2024-11-15T10:02:56.196950Z"
23,"1","government","2024-11-15T10:03:30.780175Z",23,34.121,"Positive","Cabinet approves small business support package","2024-11-15T10:03:30.780175Z"
24,"1","government","2024-11-15T10:03:58.143081Z",24,26.843,"Positive","Department of Education increases school funding","2024-11-15T10:03:58.143081Z"
